"市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","名称_英語","住所","方書","設置位置","緯度","経度","男性トイレ総数","男性トイレ数（小便器）","男性トイレ数（和式）","男性トイレ数（洋式）","女性トイレ総数","女性トイレ数（和式）","女性トイレ数（洋式）","男女共用トイレ総数","男女共用トイレ数（和式）","男女共用トイレ数（洋式）","多機能トイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考"
"172065","000001","石川県","加賀市","錦城山公園","キンジョウザンコウエン","","石川県加賀市大聖寺地方町、外","","東側階段入口横","36.3079076","136.3046348","3","3","","","","","","2","2","","","無","無","無","","22:00消灯","","","",""
"172065","000002","石川県","加賀市","大聖寺東部公園","ダイショウジトウブコウエン","","石川県加賀市大聖寺東町2丁目2番地","","西側入口横","36.303312","136.317397","2","2","","","","","","1","","1","","無","無","無","","22:00消灯","","","",""
"172065","000003","石川県","加賀市","潮津公園","ウシオヅコウエン","","石川県加賀市潮津町イ124番地1、外","","北西角","36.351176","136.3618","1","1","","","","","","1","1","","","無","無","無","","22:00消灯","","","",""
"172065","000004","石川県","加賀市","湖南公園","コナンコウエン","","石川県加賀市片山津温泉子3","","北西角","36.347169","136.362134","","","","","","","","1","1","","","無","無","無","","22:00消灯","","","",""
"172065","000005","石川県","加賀市","小菅波公園","コスガナミコウエン","","石川県加賀市小菅波町1丁目112","","北側入口横","36.318474","136.347416","","","","","","","","1","1","","","無","無","無","","22:00消灯","","","",""
"172065","000006","石川県","加賀市","見晴台第一公園","ミハラシダイダイイチコウエン","","石川県加賀市別所町2丁目83","","南側入口横","36.27083","136.363055","1","1","","","","","","1","1","","","無","無","無","","22:00消灯","","","",""
"172065","000007","石川県","加賀市","松が丘第一公園","マツガオカダイイチコウエン","","石川県加賀市松が丘1丁目22","","南側入口横","36.325654","136.341768","1","1","","","","","","1","1","","","無","無","無","","22:00消灯","","","",""
"172065","000008","石川県","加賀市","白山台公園","ハクサンダイコウエン","","石川県加賀市白山台50の3","","北側入口横","36.32078","136.343724","2","2","","","","","","1","1","","","無","無","無","","22:00消灯","","","",""
"172065","000009","石川県","加賀市","三健パーク","サンケンパーク","","石川県加賀市下河崎町78","","東側入口横","36.3066882","136.3330112","1","1","","","","","","1","1","","","無","無","無","","22:00消灯","","","",""
"172065","000010","石川県","加賀市","大聖寺ふれあい広場古九谷の杜","ダイショウジフレアイヒロバコクタニノモリ","","石川県加賀市大聖寺地方町第一字1番地1外1","","南側入口付近","36.301746","136.310399","3","2","1","","2","2","","","","","1","有","無","無","","22:00消灯","","","",""
"172065","000011","石川県","加賀市","柴山潟湖畔公園","シバヤマガタコハンコウエン","","石川県加賀市潮津町イ106番地","","管理棟併設","36.351945","136.361431","5","3","2","","4","4","","","","","1","有","無","無","","22:00消灯","","","",""
"172065","000012","石川県","加賀市","桔梗ケ丘広場","キキョウガオカヒロバ","","石川県加賀市山代温泉桔梗丘3丁目47番2","","北東角駐車場横","36.286272","136.355505","4","3","","1","6","2","4","","","","1","有","有","無","","22:00消灯","","","",""
"172065","000013","石川県","加賀市","橋立自然公園","ハシタテシゼンコウエン","","石川県加賀市橋立町井343番地","","管理棟併設","36.3488215","136.3063741","5","3","2","","3","3","","","","","1","有","","無","","22:00消灯","","","",""
"172065","000014","石川県","加賀市","中央公園","チュウオウコウエン","","石川県加賀市山田町リ、外","","公園内６カ所","36.3245499","136.3317164","31","21","10","","22","21","1","","","","5","有","有","無","","22:00消灯","ただし、管理ｾﾝﾀｰ内は、4月～9月は9：00～19：30、10月～3月は9：00～18：00のみ利用可。","","",""
"172065","000015","石川県","加賀市","激特記念公園","ゲキトクキネンコウエン","","石川県加賀市大聖寺永町ハ1番地1","","南側入口付近","36.310829","136.318935","1","1","","","","","","1","1","","","無","無","無","","22:00消灯","","","",""
"172065","000016","石川県","加賀市","北前船の里駐車場","キタマエブネノサトチュウシャジョウ","","石川県加賀市橋立町は5番地","","駐車場横","36.350468","136.311358","8","6","1","1","6","4","2","","","","1","有","","無","終日","終日","","","",""
"172065","000017","石川県","加賀市","九谷広場","クタニヒロバ","","石川県加賀市山代温泉神明町4番","","駐車場横","36.293336","136.363889","3","2","","1","2","","2","","","","1","有","","無","終日","終日","","","",""
"172065","000018","石川県","加賀市","片山津温泉湯の曲輪ひろば","カタヤマヅオンセンユノガワヒロバ","","石川県加賀市片山津温泉乙56番5","","広場・駐車場横","36.345503","136.365893","2","1","","1","2","1","1","","","","1","有","有","無","終日","終日","","","",""
